Nodo;OC;+;-;*;/;%;=;!;<;>;&;|;^;~;?;:;.;,;";";(;);{;};[;];@;#;$;Ë;ç;"""";';_;0-1;02-jul;08-sep;X;x;B;b;O;o;L;l;D;d;[Aa] ;[Cc];[Ee-Ff];[Gg-Kk];[Mm-Nn] ;[Pp-Ww] ;[Yy-Zz];\n;Espacios;Taps;\0
44;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43;-43
45;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23;-23
46;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42;-42
47;-33;-33;-33;-33;-33;-33;48;-33;-33;50;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33
48;-24;-24;-24;-24;-24;-24;49;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24;-24
49;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27
50;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44
51;-29;-29;-29;-29;-29;-29;52;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29;-29
52;-25;-25;-25;-25;-25;-25;53;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25
53;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28
54;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;509;89;89;55;55;57;57;59;59;89;89;89;89;89;89;89;89;89;509;509;509;509
55;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;56;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502;502
56;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;56;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54
57;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;58;58;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503;503
58;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;58;58;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56
59;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;60;60;60;60;504;504;60;60;504;504;504;504;60;60;60;60;60;504;504;504;504;504;504;504;504
60;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;60;60;60;-57;-57;60;60;-57;-57;-57;-57;-57;-57;60;60;60;60;-57;-57;-57;-57;-57;-57;-57
61;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;505;505;505;505
62;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;-60;-60;-60;-60
63;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;506;70;506;64;506;68;506;506;506;66;506;506;506;506;506;506;506;506;506;506;506;506
64;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;505;505;505;505
65;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;-61;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;-61;-61;-61;-61
66;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;505;505;505;505
67;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;-62;-62;-62;-62
68;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;505;505;505;505
69;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;-63;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;-63;-63;-63;-63
70;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;505;505;505;505
71;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;-64;-64;-64;-64
72;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;505;505;505;505
73;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;73;-65;-65;-65;-65
74;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;505;505;505;505
75;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;-66;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;75;-66;-66;-66;-66
76;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;505;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;505;505;505;505
77;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;-67;-67;-67;-67
78;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;81;-55;-55;-55;79;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;78;78;78;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55
79;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;80;80;80;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500
80;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;81;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;80;80;80;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58
81;501;82;82;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;84;84;84;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501;501
82;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;83;83;83;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500
83;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;83;83;83;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59
84;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;84;84;84;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59
85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;86;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;507;85;85;507
86;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53
