;main;reg;var;def;id;";";,;[;];Binario;Const Decimal;Const Octal;Const Hexadecimal;ConstReal;ConstCadena;true;false;ConstExponencial;null;+;-;(;);=;+=;-=;/=;*=;++;--;!;~;CLEAR;SQRT;POW;SQRTV;STRLEN;concat;copy;val;str;sin;cos ;tan ;chr ;pred;succ;inc;dec;sqr;?;Console.read;Console.log;if;{;while;do;return;for ;switch;};elseif;else;:;case;default;|;||;&;&&;<¾;>=;<=;!=;==;>;<<;>>;>>>;*;/;#;%;^;break
CONSTANTES/SIGNO ;522;522;522;522;522;522;522;522;522;27;27;27;27;25;26;28;29;30;31;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522;522
DECLARACIONCONSTANTES;523;523;523;523;523;523;523;523;523;34;34;34;34;34;34;34;34;34;34;32;33;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523
LISTADEPARAMETROS;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;35;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524;524
B1;525;525;525;525;525;525;36;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;147;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525;525
ASIG;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;38;39;40;41;42;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526
FACTOR;527;527;527;527;44;527;527;527;527;43;43;43;43;43;43;43;43;43;43;43;43;49;527;527;527;527;527;527;45;46;47;48;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527;527
X1;528;528;528;528;528;147;147;53;147;528;528;528;528;528;528;528;528;528;528;147;147;52;147;54;54;54;54;54;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;528;147;528;528;528;528;147;528;528;528;528;147;147;147;147;528;528;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;528
X2;529;529;529;529;529;147;529;529;147;529;529;529;529;529;529;529;529;529;529;147;147;529;147;56;56;56;56;56;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;147;529;529;529;529;147;529;529;529;529;147;147;147;147;529;529;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;529
X3;530;530;530;530;530;147;147;530;147;530;530;530;530;530;530;530;530;530;530;147;147;530;147;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;530;58;530;530;530;530;147;530;530;530;530;147;147;147;147;530;530;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147
X4;531;531;531;531;60;531;531;531;531;60;60;60;60;60;60;60;60;60;60;60;60;60;531;531;531;531;531;531;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531;531
X5;532;532;532;532;532;532;62;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;147;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532;532
FUNCION;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533;533
ARR;534;534;534;534;534;534;534;81;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534
A1;535;535;535;535;535;535;82;535;147;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535
STATU;536;536;536;536;88;147;147;536;147;88;88;88;88;88;88;88;88;88;88;88;88;88;536;536;536;536;536;536;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;147;84;86;87;89;90;91;92;93;94;147;147;147;147;536;536;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147
N;537;537;537;537;537;537;96;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;147;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537
O;538;538;538;538;538;147;147;538;147;538;538;538;538;538;538;538;538;538;538;147;147;538;147;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;147;538;538;538;538;147;538;538;538;538;147;98;99;147;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;147
P;539;539;539;539;539;101;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;147;539;539;539;539;539;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147
Q;540;540;540;540;540;104;102;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;103;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540
R;541;541;541;541;541;541;106;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;147;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541;541
S;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;107;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542;542
T;543;543;543;543;543;108;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;543;147
U;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;147;544;544;544;110;111;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544;544
V;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;113;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545;545
W;546;546;546;546;546;114;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;147;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546;546
OR;547;547;547;547;116;547;547;547;547;116;116;116;116;116;116;116;116;116;116;116;116;116;547;547;547;547;547;547;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547;547
D1;548;548;548;548;548;147;147;548;147;548;548;548;548;548;548;548;548;548;548;147;147;548;147;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;548;147;548;548;548;548;147;548;548;548;548;147;147;147;147;548;548;119;118;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147
AND;549;549;549;549;120;549;549;549;549;120;120;120;120;120;120;120;120;120;120;120;120;120;549;549;549;549;549;549;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549;549
E1;550;550;550;550;550;147;147;550;147;550;550;550;550;550;550;550;550;550;550;147;147;550;147;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;147;550;550;550;550;147;550;550;550;550;147;147;147;147;550;550;147;147;123;122;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147
EXP_PAS;551;551;551;551;124;551;551;551;551;124;124;124;124;124;124;124;124;124;124;124;124;124;551;551;551;551;551;551;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551;551
F1;552;552;552;552;552;147;147;552;147;552;552;552;552;552;552;552;552;552;552;147;147;552;147;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;552;147;552;552;552;552;147;552;552;552;552;147;147;147;147;552;552;147;147;147;147;126;127;128;129;130;131;147;147;147;147;147;147;147;147;147
SimpleExpPascal;553;553;553;553;132;553;553;553;553;132;132;132;132;132;132;132;132;132;132;132;132;132;553;553;553;553;553;553;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553;553
L1;554;554;554;554;554;147;147;554;147;554;554;554;554;554;554;554;554;554;554;135;134;554;147;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;554;147;554;554;554;554;147;554;554;554;554;147;147;147;147;554;554;147;147;147;147;147;147;147;147;147;147;136;137;138;147;147;147;147;147;147
TERMINO PASCAL ;555;555;555;555;139;555;555;555;555;139;139;139;139;139;139;139;139;139;139;139;139;139;555;555;555;555;555;555;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555;555
K1;556;556;556;556;556;147;147;556;147;556;556;556;556;556;556;556;556;556;556;147;147;556;147;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;556;147;556;556;556;556;147;556;556;556;556;147;147;147;147;556;556;147;147;147;147;147;147;147;147;147;147;147;147;147;141;142;143;144;147;147
ELEVACION;557;557;557;557;145;557;557;557;557;145;145;145;145;145;145;145;145;145;145;145;145;145;557;557;557;557;557;557;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;145;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557;557
C1;558;558;558;558;558;147;147;558;147;558;558;558;558;558;558;558;558;558;558;147;147;558;147;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;558;147;558;558;558;558;147;558;558;558;558;147;147;147;147;558;558;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;147;146;147
Y9;519;18;519;519;17;147;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519;519

